City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Xapuri,BR,73.11,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
591,Loa Janan,ID,72.18,overcast clouds,-0.583,117.095,Kost bu jono
594,Tomatlan,MX,86.32,clear sky,19.9333,-105.25,El Salvial
596,Christchurch,NZ,72.32,few clouds,-43.5333,172.6333,The George
600,Natividade,BR,76.42,heavy intensity rain,-21.0422,-41.9733,Pousada Rezende
603,Roebourne,AU,84.76,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
606,Gualeguay,AR,86.13,clear sky,-33.1416,-59.3097,Faro del Lago
607,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
608,Karratha,AU,82.2,broken clouds,-20.7377,116.8463,ibis Styles Karratha
609,Copiapo,CL,67.69,clear sky,-27.3667,-70.3333,San Francisco de La Selva
610,Sorong,ID,81.57,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
613,Grenville,GD,82.45,broken clouds,12.1167,-61.6167,Valley Breeze Guest House
621,San Blas,MX,77.9,clear sky,21.5167,-105.2667,Hotel Posada del Rey
623,Pacific Grove,US,69.15,clear sky,36.6177,-121.9166,Lovers Point Inn
624,Kuala Terengganu,MY,73.35,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
625,Neiafu,TO,81.5,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
627,San Francisco Menendez,SV,87.58,clear sky,13.8431,-90.0158,La casa de las Rivera
628,Puerto Colombia,CO,84.29,clear sky,10.9878,-74.9547,Hotel El Emigrante
629,Santo Antonio Do Monte,BR,68.23,overcast clouds,-20.0872,-45.2936,Hotel São Bento
630,Sokoto,NG,71.42,clear sky,13.0609,5.239,Giginya Coral Hotel
633,Omboue,GA,78.71,overcast clouds,-1.5746,9.2618,Hotel Olako
635,Belawan,ID,75.49,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
636,Santa Rita,BR,83.07,few clouds,-7.1139,-34.9781,Infinity Motel
638,Bodden Town,KY,71.01,scattered clouds,19.2833,-81.25,Will T Place
640,Ixtapa,MX,85.78,clear sky,20.7,-105.2,Hotel Plaza Providencia
641,Mulanje,MW,67.08,clear sky,-16.0316,35.5,Mulanje Motel
642,Jega,NG,72.97,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
643,Catuday,PH,75.16,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
645,Yenagoa,NG,74.91,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
651,Cameta,BR,75.69,overcast clouds,-2.2444,-49.4958,Hotel San Juan
656,Chabahar,IR,71.71,clear sky,25.2919,60.643,هتل گدروشیا
660,Banda Aceh,ID,76.44,broken clouds,5.5577,95.3222,Sulthan Hotel International
662,Necochea,AR,68.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
663,Machaneng,BW,71.6,overcast clouds,-23.1862,27.4886,Matswelo Hotel
664,Santa Fe,AR,89.01,clear sky,-31.6333,-60.7,Conquistador Hotel
665,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
666,Santa Helena De Goias,BR,69.39,overcast clouds,-17.8136,-50.5969,Hotel Cana Verde
670,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
674,Tucupita,VE,77.88,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
676,Angra Dos Reis,BR,76.96,overcast clouds,-23.0067,-44.3181,Mercure Angra dos Reis
678,Bangkalan,ID,76.95,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
679,Poum,NC,80.26,overcast clouds,-20.2333,164.0167,Gîte kajeon
680,Gitarama,RW,65.66,light rain,-2.0744,29.7567,Muhanga in Cyakabiri Motel
681,Alta Floresta,BR,71.15,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
684,Luangwa,ZM,71.37,moderate rain,-15.6167,30.4167,Gerasimos Safari Lodge
685,Correntina,BR,70.74,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
687,Hualmay,PE,72.86,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
688,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
689,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
690,Carutapera,BR,74.91,moderate rain,-1.195,-46.02,Lidera
698,Gamboma,CG,78.1,overcast clouds,-1.8764,15.8644,Residence N'Keni
