City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Strezhevoy,RU,2022-01-22 21:25:17,60.7333,77.5889,12.18,100,97,2.73
155,Olafsvik,IS,2022-01-22 21:25:18,64.8945,-23.7142,35.29,69,100,33.11
156,Kashi,CN,2022-01-22 21:25:18,39.4547,75.9797,30.22,43,75,6.71
157,Chokurdakh,RU,2022-01-22 21:25:18,70.6333,147.9167,-19.68,96,100,7.05
158,Adrar,MR,2022-01-22 21:25:19,20.5022,-10.0711,69.26,15,89,11.63
159,Petropavlovsk-Kamchatskiy,RU,2022-01-22 21:25:19,53.0452,158.6483,7.39,78,20,8.95
160,Kahului,US,2022-01-22 21:25:19,20.8947,-156.47,83.46,68,20,21.85
161,Clovis,US,2022-01-22 21:25:10,36.8252,-119.7029,66.69,60,75,3.0
162,Alyangula,AU,2022-01-22 21:25:20,-13.8483,136.4192,78.67,100,40,3.44
163,Port Lincoln,AU,2022-01-22 21:25:20,-34.7333,135.8667,67.15,97,100,2.71
164,Port Blair,IN,2022-01-22 21:25:20,11.6667,92.75,71.64,94,20,0.0
165,Jega,NG,2022-01-22 21:25:20,12.2175,4.3792,70.03,14,12,10.94
166,Siniscola,IT,2022-01-22 21:25:21,40.5719,9.6922,40.55,77,0,5.26
167,Cedar City,US,2022-01-22 21:22:56,37.6775,-113.0619,38.39,55,20,8.05
168,Lavrentiya,RU,2022-01-22 21:25:21,65.5833,-171.0,4.68,95,100,7.87
169,Port Alfred,ZA,2022-01-22 21:25:22,-33.5906,26.891,73.18,74,0,28.12
170,Kloulklubed,PW,2022-01-22 21:25:22,7.0419,134.2556,81.52,81,100,18.48
171,Cabo San Lucas,MX,2022-01-22 21:24:57,22.8909,-109.9124,78.62,42,0,3.0
172,Merauke,ID,2022-01-22 21:25:23,-8.4667,140.3333,77.38,91,100,11.99
173,Salinopolis,BR,2022-01-22 21:25:23,-0.6136,-47.3561,80.33,82,86,6.62
174,College,US,2022-01-22 21:25:23,64.8569,-147.8028,10.72,83,75,0.0
175,Simao,CN,2022-01-22 21:25:23,22.7886,100.9748,44.64,93,10,0.02
176,Hami,CN,2022-01-22 21:25:24,42.8,93.45,24.21,54,6,5.03
177,Pueblo,US,2022-01-22 21:20:57,38.2545,-104.6091,48.96,71,0,5.01
178,Aliwal North,ZA,2022-01-22 21:25:24,-30.6937,26.7114,67.91,45,0,8.23
179,Batagay-Alyta,RU,2022-01-22 21:25:25,67.8006,130.4114,-1.41,84,100,5.06
180,Hovd,MN,2022-01-22 21:25:25,48.0056,91.6419,-0.62,73,7,6.35
181,Point Fortin,TT,2022-01-22 21:25:25,10.1833,-61.6833,82.33,65,10,9.17
182,Camocim,BR,2022-01-22 21:25:26,-2.9022,-40.8411,81.32,76,90,15.14
183,Lazaro Cardenas,MX,2022-01-22 21:25:10,17.9583,-102.2,83.79,58,11,8.9
184,Mahon,ES,2022-01-22 21:26:26,39.8885,4.2658,43.36,81,40,4.61
185,Bosaso,SO,2022-01-22 21:26:26,11.2842,49.1816,75.15,75,39,3.4
186,Yulara,AU,2022-01-22 21:26:27,-25.2406,130.9889,75.04,69,6,6.91
187,Doha,QA,2022-01-22 21:26:27,25.2867,51.5333,55.38,71,0,8.05
188,Hambantota,LK,2022-01-22 21:26:27,6.1241,81.1185,70.14,100,20,2.3
189,Kavieng,PG,2022-01-22 21:26:28,-2.5744,150.7967,82.08,74,96,3.74
190,Klaksvik,FO,2022-01-22 21:26:28,62.2266,-6.589,47.32,88,100,29.3
191,Kupang,ID,2022-01-22 21:26:28,-10.1667,123.5833,77.58,100,75,4.61
192,Boende,CD,2022-01-22 21:26:29,-0.2167,20.8667,77.85,47,77,2.08
193,Kruisfontein,ZA,2022-01-22 21:26:29,-34.0033,24.7314,71.89,77,0,12.28
194,Tuatapere,NZ,2022-01-22 21:26:29,-46.1333,167.6833,55.81,66,81,6.82
195,Iskitim,RU,2022-01-22 21:26:30,54.6366,83.3045,-3.75,100,98,0.65
196,Ugoofaaru,MV,2022-01-22 21:26:30,5.6667,73.0,81.28,63,100,7.0
197,Ribeira Grande,PT,2022-01-22 21:26:30,38.5167,-28.7,57.6,72,20,11.5
198,Umea,SE,2022-01-22 21:26:30,63.8284,20.2597,29.91,100,0,9.22
199,Cidreira,BR,2022-01-22 21:26:31,-30.1811,-50.2056,80.44,79,7,16.6
200,Tarcau,RO,2022-01-22 21:26:31,46.8667,26.1333,26.96,88,100,3.0
201,Kavaratti,IN,2022-01-22 21:26:31,10.5669,72.642,79.38,69,100,12.77
202,Huilong,CN,2022-01-22 21:26:32,31.8111,121.655,52.03,99,100,8.75
203,Pohrebyshche,UA,2022-01-22 21:26:32,49.4864,29.2636,21.61,92,93,10.47
204,Poum,NC,2022-01-22 21:26:33,-20.2333,164.0167,79.81,80,71,12.46
205,Japura,ID,2022-01-22 21:26:33,-0.3167,102.35,72.59,97,87,1.79
206,Vostok,RU,2022-01-22 21:26:33,46.4856,135.8833,-18.9,100,67,4.32
207,Liverpool,GB,2022-01-22 21:26:34,53.4106,-2.9779,45.28,90,100,1.01
208,Betsiamites,CA,2022-01-22 21:26:34,48.9413,-68.646,12.09,96,46,2.68
